,idx,class_label,presence_terminal_loop,start_loop_upperhalf_col,highest_point_loop_upperhalf_row,highest_point_loop_upperhalf_col,loop_length,loop_width,gap_start,palindrome_score,asymmetric,large_asymmetric_bulge,largest_asym_bulge_strand_location,largest_asym_bulge_sequence_location,stem_begin,stem_end,stem_length,total_length,base_pairs_in_stem,base_pairs_wobbles_in_stem,AU_pair_begin_maturemiRNA,UGU
2872,2872,1,True,5.0,3.0,3.0,20.0,6.0,,0.77,False,5.0,upper,51.0,99,6,93,99,0.574468085106383,0.6382978723404256,True,False
2873,2873,1,True,3.0,4.0,2.0,18.0,4.0,,0.9555555555555556,False,,,,44,4,40,44,0.6341463414634146,0.8536585365853658,True,False
2874,2874,1,True,5.0,4.0,4.0,18.0,6.0,,0.8863636363636364,False,,,,43,6,37,43,0.6578947368421053,0.7368421052631579,True,True
2875,2875,0,True,6.0,0.0,3.0,25.0,7.0,,0.6296296296296297,False,11.0,lower,46.0,53,7,46,53,0.3191489361702128,0.3191489361702128,False,True
2876,2876,1,True,2.0,4.0,1.0,18.0,3.0,,0.8245614035087719,False,5.0,lower,14.0,56,3,53,56,0.5185185185185185,0.5370370370370371,True,True
2877,2877,1,True,5.0,2.0,3.0,22.0,6.0,,0.7948717948717948,False,,,,77,6,71,77,0.5555555555555556,0.6527777777777778,False,False
2878,2878,1,True,6.0,0.0,3.0,25.0,7.0,,0.8615384615384616,False,,,,64,7,57,64,0.7068965517241379,0.7413793103448276,True,True
2879,2879,1,True,3.0,4.0,1.0,18.0,4.0,,0.5684210526315789,False,18.0,upper,27.0,94,4,90,94,0.4065934065934066,0.45054945054945056,True,True
2880,2880,1,True,3.0,4.0,2.0,18.0,4.0,,0.8787878787878788,False,,,,32,4,28,32,0.6896551724137931,0.7586206896551724,True,True
2881,2881,1,True,10.0,0.0,7.0,25.0,11.0,,0.8636363636363636,False,,,,43,11,32,43,0.6060606060606061,0.696969696969697,False,True
2882,2882,0,False,,,,,,4.0,0.2222222222222222,True,,,,44,0,44,44,0.045454545454545456,0.06818181818181818,False,False
2883,2883,1,True,4.0,2.0,2.0,22.0,5.0,,0.8421052631578947,False,,,,56,5,51,56,0.6346153846153846,0.7115384615384616,True,False
2884,2884,1,True,5.0,4.0,4.0,18.0,6.0,,0.8518518518518519,False,,,,53,6,47,53,0.6875,0.7083333333333334,True,False
2885,2885,1,True,12.0,0.0,9.0,25.0,13.0,,0.8775510204081632,False,,,,48,13,35,48,0.7777777777777778,0.8055555555555556,False,True
2886,2886,1,True,6.0,0.0,3.0,25.0,7.0,,0.8222222222222222,False,,,,44,7,37,44,0.6052631578947368,0.7631578947368421,False,True
2887,2887,1,True,9.0,0.0,5.0,25.0,10.0,,0.8703703703703703,False,,,,53,10,43,53,0.6136363636363636,0.8181818181818182,False,True
2888,2888,1,True,2.0,4.0,1.0,18.0,3.0,,0.7090909090909091,False,3.0,lower,15.0,54,3,51,54,0.5384615384615384,0.6730769230769231,False,False
2889,2889,0,False,,,,,,3.0,0.5098039215686274,False,,,,50,0,50,50,0.16,0.26,False,False
2890,2890,1,True,3.0,4.0,2.0,18.0,4.0,,1.0,False,,,,26,4,22,26,0.6086956521739131,0.7391304347826086,True,False
2891,2891,1,True,8.0,0.0,5.0,25.0,9.0,,0.8169014084507042,False,,,,70,9,61,70,0.5161290322580645,0.7258064516129032,True,False
2892,2892,0,True,2.0,4.0,1.0,18.0,3.0,,0.603448275862069,False,6.0,lower,52.0,57,3,54,57,0.45454545454545453,0.5272727272727272,False,False
2893,2893,1,True,9.0,0.0,5.0,25.0,10.0,,0.88,False,,,,49,10,39,49,0.675,0.7,True,False
2894,2894,0,False,,,,,,3.0,0.45614035087719296,False,2.0,lower,44.0,56,0,56,56,0.17857142857142858,0.19642857142857142,False,False
2895,2895,0,False,,,,,,4.0,0.46511627906976744,False,1.0,upper,36.0,42,0,42,42,0.16666666666666666,0.19047619047619047,True,False
